"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 16 20:23:46 UTC 2026","Fri Jan 16 20:23:49 UTC 2026","3347","","com.serenitydojo.playwright.PlaywrightCollectionsTest","","com.serenitydojo.playwright.PlaywrightCollectionsTest","findingTheFirstMatchingItem","Finding the first matching item",""
"passed","Fri Jan 16 20:23:56 UTC 2026","Fri Jan 16 20:23:58 UTC 2026","2080","","Locating visible elements","","com.serenitydojo.playwright.PlaywrightLocatorsTest$LocatingVisibleElements","locateVisibleAndInvisibleItems","Finding visible and invisible elements",""
"passed","Fri Jan 16 20:23:19 UTC 2026","Fri Jan 16 20:23:48 UTC 2026","28779","","Contact form","","com.serenitydojo.playwright.toolsshop.contact.ContactFormTest","invalidEmailField","The email address must be correctly formatted 'not-an-email' should be rejected",""
"passed","Fri Jan 16 20:27:35 UTC 2026","Fri Jan 16 20:27:38 UTC 2026","2691","","Locating elements by role","","com.serenitydojo.playwright.PlaywrightLocatorsTest$LocatingElementsByRole","byButton","Using the BUTTON role",""
"passed","Fri Jan 16 20:23:19 UTC 2026","Fri Jan 16 20:23:49 UTC 2026","29277","","com.serenitydojo.playwright.toolsshop.login.LoginWithRegisteredUserTest","","com.serenitydojo.playwright.toolsshop.login.LoginWithRegisteredUserTest","should_reject_user_with_invalid_password","Should reject a user if they provide a wrong password",""
"passed","Fri Jan 16 20:23:54 UTC 2026","Fri Jan 16 20:24:05 UTC 2026","11558","","com.serenitydojo.playwright.PlaywrightWaitsTest.WaitingForElementsToAppearAndDisappear","","com.serenitydojo.playwright.PlaywrightWaitsTest$WaitingForElementsToAppearAndDisappear","shouldDisplayToasterMessage","It should display a toaster message when an item is added to the cart",""
"broken","Fri Jan 16 20:23:58 UTC 2026","Fri Jan 16 20:24:28 UTC 2026","30574","","Locating elements by text using CSS","","com.serenitydojo.playwright.PlaywrightLocatorsTest$LocatingElementsByTextUsingCSS","locateTheSendButtonByText","Using :has-text",""
"passed","Fri Jan 16 20:24:10 UTC 2026","Fri Jan 16 20:24:13 UTC 2026","3518","","Contact form","","com.serenitydojo.playwright.toolsshop.contact.ContactFormTest","mandatoryFields","First name, last name, email and message are mandatory [3] fieldName=Email",""
"broken","Fri Jan 16 20:23:49 UTC 2026","Fri Jan 16 20:24:22 UTC 2026","33846","","com.serenitydojo.playwright.toolsshop.login.LoginWithRegisteredUserTest","","com.serenitydojo.playwright.toolsshop.login.LoginWithRegisteredUserTest","should_login_with_registered_user","Should be able to login with a registered user",""
"passed","Fri Jan 16 20:24:06 UTC 2026","Fri Jan 16 20:24:10 UTC 2026","3334","","Contact form","","com.serenitydojo.playwright.toolsshop.contact.ContactFormTest","mandatoryFields","First name, last name, email and message are mandatory [2] fieldName=Last name",""
"passed","Fri Jan 16 20:27:31 UTC 2026","Fri Jan 16 20:27:35 UTC 2026","3771","","Locating elements by role","","com.serenitydojo.playwright.PlaywrightLocatorsTest$LocatingElementsByRole","byCheckboxes","Identifying checkboxes",""
"passed","Fri Jan 16 20:23:19 UTC 2026","Fri Jan 16 20:23:46 UTC 2026","26936","","com.serenitydojo.playwright.PlaywrightWaitsTest.WaitingForAPICalls","","com.serenitydojo.playwright.PlaywrightWaitsTest$WaitingForAPICalls","sortByDescendingPrice","sortByDescendingPrice(Page)",""
"passed","Fri Jan 16 20:23:53 UTC 2026","Fri Jan 16 20:23:56 UTC 2026","2785","","Locating visible elements","","com.serenitydojo.playwright.PlaywrightLocatorsTest$LocatingVisibleElements","locateVisibleItems","Finding only visible elements",""
"passed","Fri Jan 16 20:23:38 UTC 2026","Fri Jan 16 20:23:44 UTC 2026","6624","","com.serenitydojo.playwright.ASimplePlaywrightTest","","com.serenitydojo.playwright.ASimplePlaywrightTest","shouldShowThePageTitle","shouldShowThePageTitle()",""
"passed","Fri Jan 16 20:24:03 UTC 2026","Fri Jan 16 20:24:10 UTC 2026","7202","","com.serenitydojo.playwright.PlaywrightPageObjectTest.WhenAddingItemsToTheCart","","com.serenitydojo.playwright.PlaywrightPageObjectTest$WhenAddingItemsToTheCart","withoutPageObjects","Without Page Objects",""
"passed","Fri Jan 16 20:24:10 UTC 2026","Fri Jan 16 20:24:18 UTC 2026","8296","","com.serenitydojo.playwright.PlaywrightPageObjectTest.WhenAddingItemsToTheCart","","com.serenitydojo.playwright.PlaywrightPageObjectTest$WhenAddingItemsToTheCart","withPageObjects","withPageObjects()",""
"passed","Fri Jan 16 20:23:38 UTC 2026","Fri Jan 16 20:23:45 UTC 2026","7221","","Nested locators","","com.serenitydojo.playwright.PlaywrightLocatorsTest$NestedLocators","filteringMenuItemsByLocator","filtering locators by locator",""
